id	BP101	BP155	BP186	BP278	BP315	BP331
TIGR02422	16	17	0	0	2	4
TIGR00767	708	718	62	751	2457	886
TIGR00764	306	288	11	605	2091	702
TIGR00765	261	267	7	331	1214	414
TIGR02517	1037	894	32	1552	5940	1843
TIGR02516	585	532	16	1029	3976	1150
TIGR02515	866	802	24	1474	5399	1740
TIGR00761	528	476	32	805	2903	1015
TIGR03020	27	26	2	21	58	33
TIGR03022	729	676	52	878	3414	1138
TIGR03023	846	752	56	1106	4854	1395
TIGR03025	869	787	58	1117	4861	1403
TIGR03026	926	907	34	1383	4917	1748
TIGR03027	303	230	24	344	1128	376
TIGR03028	176	173	19	266	1037	288
TIGR03029	104	93	5	190	1083	185
TIGR02426	377	290	26	417	1328	498
TIGR00651	33	39	6	97	385	57
TIGR01963	9911	8438	430	12399	44313	16334
TIGR00717	1224	1153	69	1266	4314	1765
TIGR01961	0	0	0	16	8	12
TIGR01960	174	239	17	280	452	143
TIGR01967	1380	1138	48	1599	5388	2009
TIGR01966	469	370	53	731	2491	910
TIGR01965	91	53	13	28	88	25
TIGR02541	235	238	16	397	1393	424
TIGR01969	677	584	30	736	2656	877
TIGR01968	647	547	26	702	2493	845
TIGR03129	29	53	7	18	51	12
TIGR02544	74	53	3	140	448	153
TIGR03127	199	162	20	232	591	239
TIGR00612	245	283	18	356	1261	450
TIGR00613	119	99	7	256	912	319
TIGR00611	284	287	22	424	1569	552
TIGR00616	156	195	4	24	177	36
TIGR02546	2418	2372	417	2649	7373	3303
TIGR00614	550	460	34	696	2380	821
TIGR00615	127	166	13	288	860	320
TIGR02466	9	12	19	4	12	2
TIGR00618	353	325	9	450	1279	645
TIGR00619	279	247	4	473	1399	597
TIGR02463	52	20	0	2	2	6
TIGR02461	52	20	0	2	2	6
TIGR03503	17	22	0	36	182	21
TIGR03502	38	29	2	54	214	22
TIGR00718	0	3	0	5	57	12
TIGR03231	3	5	2	27	62	20
TIGR03232	6	8	2	34	87	43
TIGR03235	676	559	33	851	2390	829
TIGR03239	118	78	11	148	310	117
TIGR00906	304	288	9	425	1218	446
TIGR00904	195571	139377	79417	295155	400702	157477
TIGR00902	293	278	9	411	1409	528
TIGR00900	234	189	4	297	1048	310
TIGR00901	236	202	7	314	1084	351
TIGR00908	109	90	7	182	561	156
TIGR00909	463	431	21	667	1933	689
TIGR01749	231	187	0	224	640	320
TIGR02057	248	188	1	224	738	253
TIGR02055	207	136	1	184	614	216
TIGR01747	127	94	6	157	513	240
TIGR02053	2557	2197	107	3213	10670	3946
TIGR01745	104	62	13	125	437	190
TIGR02051	136	169	0	175	748	207
TIGR01989	3119	4405	1802	3404	13855	3157
TIGR01988	3279	4548	1817	3686	14878	3508
TIGR02298	24	25	0	7	33	4
TIGR02299	3499	3429	233	4164	14280	5149
TIGR01981	63	67	6	73	237	67
TIGR01980	139	122	12	142	374	121
TIGR01983	331	246	15	446	1626	558
TIGR01982	412	323	19	619	2024	691
TIGR02290	211	187	12	269	822	359
TIGR02291	127	116	7	117	380	109
TIGR02292	77	68	5	132	440	146
TIGR03835	170	185	13	255	886	289
TIGR00839	165	151	21	241	923	282
TIGR03833	0	0	0	6	27	12
TIGR03832	58	60	0	59	229	86
TIGR03830	0	2	0	20	12	4
TIGR00832	62	64	2	100	166	142
TIGR00833	526	449	27	512	1738	663
TIGR00830	45	18	0	0	6	2
TIGR00831	132	109	10	156	533	216
TIGR00836	1380	1262	128	1928	6337	2007
TIGR03838	649	659	58	980	3426	1205
TIGR01404	267	268	8	459	1490	599
TIGR01405	569	517	17	460	1601	767
TIGR01406	550	466	22	479	1560	769
TIGR01407	760	710	37	923	2991	1238
TIGR01400	287	201	10	376	1502	438
TIGR01401	97	90	8	98	457	135
TIGR01402	100	74	2	76	226	97
TIGR01403	90	55	2	68	216	90
TIGR01408	72	84	2	132	567	175
TIGR03198	1	2	0	2	40	9
TIGR02180	50	60	5	80	145	83
TIGR02181	65	67	3	88	250	70
TIGR02188	4406	3952	397	5572	18509	7212
TIGR03902	29	45	10	30	217	34
TIGR03900	414	448	17	692	2298	853
TIGR03904	822	762	64	1047	3436	1377
TIGR00168	124	139	13	156	345	148
TIGR00169	360	338	14	519	1760	619
TIGR00160	41	40	6	6	30	10
TIGR00163	226	198	11	311	1111	383
TIGR00165	56	47	7	72	263	132
TIGR00166	122	130	9	126	471	211
TIGR00167	265	281	22	233	917	270
TIGR01578	875	762	67	1190	3960	1330
TIGR01579	813	727	65	1106	3772	1191
TIGR01574	951	838	104	1345	4514	1505
TIGR01575	124	118	0	178	589	191
TIGR02988	11	13	3	10	41	14
TIGR02989	330	278	14	442	1211	493
TIGR02980	1560	1461	365	1768	5793	2158
TIGR02982	4940	4488	327	6080	21308	7555
TIGR02983	255	263	14	268	1118	375
TIGR02984	286	247	7	410	1239	488
TIGR02985	741	604	30	611	2163	777
TIGR04340	14	16	2	3	14	4
TIGR00296	2	4	0	18	62	18
TIGR00294	0	0	0	15	51	8
TIGR04047	357	334	18	452	2405	658
TIGR04046	73	66	9	77	224	90
TIGR04041	0	0	0	19	35	15
TIGR04049	2	5	0	17	125	21
TIGR04048	12	49	0	15	42	14
TIGR02875	1971	1767	116	2410	8269	2533
TIGR02877	257	237	20	229	563	354
TIGR02872	350	259	9	515	1894	594
TIGR02873	28	32	5	19	53	24
TIGR02724	279	238	22	301	1059	389
TIGR02726	73	83	1	106	303	105
TIGR02727	127	71	0	185	709	237
TIGR02720	567	561	45	816	2899	933
TIGR02721	298	181	11	384	1242	568
TIGR02722	2	3	0	6	18	16
TIGR02723	184	170	19	201	665	240
TIGR04343	132	141	8	208	581	178
TIGR02729	676	639	41	894	3048	1122
TIGR00580	1330	1152	111	1698	5803	2154
TIGR00581	55	70	2	112	367	85
TIGR00586	117	95	8	124	503	173
TIGR03481	27	40	0	4	123	29
TIGR00585	376	289	13	463	1763	744
TIGR01170	222	129	10	273	941	388
TIGR00589	61	73	3	88	319	109
TIGR01192	1656	1551	107	1983	7247	2562
TIGR01193	3603	3154	211	4306	15537	5467
TIGR00342	227	171	12	161	645	268
TIGR01191	65	33	0	65	88	30
TIGR00344	1341	1004	99	1532	5342	2209
TIGR01194	599	581	34	606	2411	775
TIGR00347	158	115	20	301	742	293
TIGR00348	1	2	1	38	83	8
TIGR01350	2688	2380	111	3363	11206	4149
TIGR01351	234	183	17	263	760	361
TIGR01352	290	249	15	256	844	331
TIGR01353	8	14	1	26	82	28
TIGR01354	0	0	0	7	37	3
TIGR01356	621	576	17	847	2838	1028
TIGR01357	282	220	7	470	1484	432
TIGR01358	3	0	2	2	23	10
TIGR01359	152	134	12	171	511	238
TIGR02618	18	16	0	20	75	20
TIGR02612	14	14	0	63	159	56
TIGR02613	13	14	0	53	156	58
TIGR02614	517	521	26	863	2850	932
TIGR02615	449	452	24	794	2638	865
TIGR02617	18	16	0	20	75	20
TIGR04133	52	57	2	63	258	46
TIGR02748	364	351	20	664	2133	680
TIGR04131	25	28	2	54	90	34
TIGR04130	7	9	0	129	514	82
TIGR03610	122	131	1	201	762	249
TIGR03589	7	11	0	135	584	92
TIGR03588	31	17	0	113	511	70
TIGR03586	2	0	0	37	106	34
TIGR03585	0	2	0	4	22	14
TIGR02909	3	9	2	24	119	13
TIGR00075	0	2	0	168	883	224
TIGR04262	95	78	7	87	692	132
TIGR00753	96	137	4	119	786	190
TIGR00750	41	28	0	94	241	134
TIGR00757	877	758	59	1383	4492	1596
TIGR00755	160	219	3	315	1071	314
TIGR00754	63	58	4	7	73	42
TIGR02504	472	486	29	519	1948	816
TIGR02505	485	335	10	271	462	363
TIGR00759	2210	1777	139	2531	8003	3002
TIGR03056	0	2	0	55	194	43
TIGR03598	292	230	18	297	1154	446
TIGR01974	268	362	46	718	1069	290
TIGR01975	12	28	0	14	71	17
TIGR01976	384	352	12	577	1645	550
TIGR01977	465	422	15	672	1936	643
TIGR01970	633	524	20	650	1952	752
TIGR01972	246	387	95	395	740	252
TIGR01973	505	461	37	586	1665	583
TIGR01978	1591	1471	111	1849	6995	2485
TIGR01979	691	591	36	863	2643	843
TIGR03138	378	289	14	496	1712	620
TIGR03139	121	78	7	131	433	178
TIGR03136	806	542	29	803	2468	941
TIGR03137	157	122	6	175	577	144
TIGR03131	517	494	18	712	2412	879
TIGR02470	1	0	1	8	176	16
TIGR01130	331	322	16	494	1536	456
TIGR02472	35	24	4	9	44	22
TIGR00624	225	211	12	339	1261	504
TIGR02474	340	146	18	5	6	76
TIGR02475	3	27	1	5	10	16
TIGR00621	1607	1076	71	821	2074	975
TIGR02478	24	32	1	82	148	47
TIGR02479	1417	1316	339	1554	4864	1823
TIGR00628	331	211	20	371	946	397
TIGR03222	98	110	9	170	662	244
TIGR03220	16	24	3	86	338	73
TIGR00938	248	291	22	453	1547	542
TIGR03226	85	87	0	129	453	166
TIGR03224	30	26	2	58	230	47
TIGR02259	0	0	0	13	77	29
TIGR00933	454	407	31	736	2521	880
TIGR00932	326	361	9	302	1193	448
TIGR03228	246	196	20	516	1672	519
TIGR03229	260	216	24	522	1701	531
TIGR00936	407	400	49	519	1675	710
TIGR01784	0	0	0	59	245	20
TIGR02157	7	18	0	6	20	16
TIGR02063	1067	844	77	1287	4308	1652
TIGR02062	435	340	40	508	1720	570
TIGR02061	2	2	1	167	505	88
TIGR02060	0	0	0	11	31	0
TIGR02067	368	231	11	401	1549	525
TIGR01759	281	279	21	398	1219	454
TIGR02065	462	382	51	692	2323	857
TIGR02064	26	25	2	67	303	79
TIGR01755	19	18	0	9	40	24
TIGR02069	0	0	0	14	40	16
TIGR02068	109	83	7	56	149	42
TIGR01750	52	76	3	78	263	108
TIGR01751	589	464	43	852	2606	1001
TIGR01752	264	170	9	167	724	298
TIGR01753	72	58	2	47	117	25
TIGR02261	0	0	0	8	47	22
TIGR01998	38	18	0	0	4	4
TIGR02262	4061	3657	307	5033	17374	6616
TIGR02266	9	20	0	10	52	25
TIGR03820	346	339	11	492	1863	582
TIGR03821	339	340	12	493	1866	585
TIGR03822	329	320	10	479	1815	547
TIGR01991	1660	1519	145	2107	6794	2866
TIGR03824	83	72	2	71	196	81
TIGR01997	199	183	23	290	1013	374
TIGR01994	4	2	0	23	74	23
TIGR03827	0	0	0	23	82	4
TIGR00809	84	85	4	57	368	120
TIGR00804	3	2	0	280	177	81
TIGR00801	49	72	8	33	75	15
TIGR00800	1	2	4	12	42	8
TIGR03301	26	55	2	69	251	44
TIGR03872	56	35	0	84	337	103
TIGR03918	444	443	14	851	2418	899
TIGR03910	30	25	3	29	153	29
TIGR03913	52	57	2	48	194	42
TIGR04274	0	0	0	15	2	5
TIGR00119	135	125	7	144	608	234
TIGR00118	830	777	63	1267	4457	1456
TIGR00115	170	147	6	97	358	150
TIGR00114	165	165	10	255	836	277
TIGR00117	493	536	35	689	2250	868
TIGR00116	283	209	19	296	1022	330
TIGR00110	560	577	51	686	2222	856
TIGR00113	172	175	11	222	755	283
TIGR00112	184	195	4	278	1158	365
TIGR01509	65	50	3	91	624	156
TIGR01508	219	241	9	400	1253	340
TIGR01505	347	328	17	534	1893	578
TIGR01504	658	617	54	902	3456	1016
TIGR01501	0	0	0	4	41	16
TIGR01500	832	711	23	928	3283	1211
TIGR01503	4	2	2	25	170	38
TIGR04271	127	118	2	111	411	148
TIGR00040	0	0	0	4	41	14
TIGR02089	311	280	15	470	1545	517
TIGR02088	323	302	15	524	1649	546
TIGR02081	220	233	5	275	991	416
TIGR02080	735	513	57	935	2716	1045
TIGR02083	704	549	38	882	2627	1177
TIGR02082	1049	903	62	1293	4131	1644
TIGR02085	189	98	1	248	1099	358
TIGR02084	96	94	5	135	335	169
TIGR02087	93	94	5	133	332	168
TIGR02086	620	568	40	816	2425	1074
TIGR00281	0	0	0	34	89	9
TIGR00871	62	74	3	82	200	36
TIGR04054	51	54	2	82	325	69
TIGR04055	227	196	5	277	1041	321
TIGR04056	44	44	8	127	616	112
TIGR04057	0	2	0	5	26	3
TIGR00021	186	153	9	320	1083	350
TIGR00020	566	556	53	683	2676	872
TIGR00023	7	24	1	22	150	33
TIGR00027	0	0	0	14	12	4
TIGR00026	205	190	8	210	627	316
TIGR00029	87	58	11	99	269	69
TIGR01211	0	0	0	0	22	9
TIGR01212	0	0	0	15	42	12
TIGR01215	12	10	1	13	42	13
TIGR01214	253	219	7	435	1219	415
TIGR01217	2330	2085	248	3007	9998	3788
TIGR01216	198	193	6	255	877	290
TIGR02883	98	90	10	117	535	180
TIGR02882	1465	1218	383	1191	3564	1478
TIGR02885	1071	1041	355	1167	3544	1330
TIGR02884	29	33	5	20	55	24
TIGR00337	877	799	96	992	3385	1234
TIGR00336	195	208	7	269	1047	396
TIGR00331	0	0	0	43	34	6
TIGR00330	30	7	0	0	0	7
TIGR00332	0	0	0	16	62	5
TIGR00339	359	278	10	379	1628	571
TIGR00338	357	243	21	476	1754	613
TIGR01325	721	485	52	948	2655	1033
TIGR01324	668	445	49	808	2426	915
TIGR01327	1405	1142	56	2055	6891	2496
TIGR01326	550	461	41	780	2118	789
TIGR03550	184	133	1	198	722	416
TIGR01329	683	472	50	850	2546	952
TIGR01328	746	522	53	975	2715	1066
TIGR02668	296	258	7	371	1377	471
TIGR02665	4	1	0	40	130	20
TIGR02667	80	121	5	151	484	155
TIGR02666	358	299	13	464	1619	584
TIGR02660	482	406	23	843	2409	892
TIGR04121	270	248	15	306	1035	441
TIGR04127	0	0	0	20	24	4
TIGR00249	96	103	2	142	580	159
TIGR03591	1277	1170	90	1241	4338	1896
TIGR03592	342	292	14	433	1735	506
TIGR03593	333	235	10	360	1833	517
TIGR03594	961	952	44	1415	4739	1659
TIGR03596	580	573	22	895	3039	1119
TIGR03597	12	32	2	20	89	26
TIGR00241	0	0	0	17	104	29
TIGR00243	217	193	13	350	1144	375
TIGR00242	103	107	8	171	531	182
TIGR00245	68	87	7	96	404	118
TIGR00244	35	19	0	34	120	29
TIGR00247	308	208	14	486	1688	581
TIGR00246	95	69	9	120	403	112
TIGR01039	1911	1864	262	2210	6223	2770
TIGR01038	87	118	0	95	231	49
TIGR01031	72	91	9	63	171	92
TIGR01030	88	94	15	177	555	232
TIGR01033	423	338	25	525	1918	629
TIGR01032	148	144	11	193	520	182
TIGR01035	218	153	12	341	1179	372
TIGR01034	514	426	41	596	1692	650
TIGR01037	27	37	1	70	189	48
TIGR01036	127	144	4	206	702	253
TIGR00744	9	10	0	10	66	6
TIGR00745	23	22	0	148	431	81
TIGR00747	470	401	23	689	2355	711
TIGR00740	70	71	6	40	194	52
TIGR00741	148	205	9	231	713	309
TIGR00742	692	653	35	998	3702	1193
TIGR00748	387	330	18	404	1504	631
TIGR00749	137	137	4	57	256	50
TIGR02296	173	134	15	205	875	286
TIGR01710	27	10	1	71	306	80
TIGR01711	31	34	0	8	18	11
TIGR00639	293	247	9	349	1241	464
TIGR02024	3	5	0	23	57	11
TIGR03105	334	311	14	399	1243	559
TIGR03104	826	796	27	1151	3848	1449
TIGR00630	1766	1458	134	2061	6826	2493
TIGR00631	920	917	80	1159	3837	1543
TIGR03109	209	254	9	297	969	464
TIGR00633	538	530	36	812	2760	1060
TIGR00634	640	616	18	1076	3141	1044
TIGR00635	173	118	23	158	720	212
TIGR00636	0	1	1	39	78	17
TIGR00637	0	0	0	0	5	1
TIGR02405	209	163	1	22	110	49
TIGR02404	6	13	0	7	38	7
TIGR02407	734	651	36	1063	4101	1257
TIGR02406	0	0	0	6	28	10
TIGR02401	51	67	0	10	50	28
TIGR02403	144	136	3	22	79	47
TIGR02402	78	54	1	31	155	41
TIGR02408	4	0	0	4	43	10
TIGR01699	85	52	1	191	699	252
TIGR01698	135	80	1	209	808	275
TIGR01695	528	429	28	773	2403	979
TIGR01694	175	88	1	224	800	301
TIGR01697	135	80	1	209	802	275
TIGR01690	38	45	0	18	38	30
TIGR01693	794	655	21	1032	3424	1283
TIGR01692	368	347	17	551	1948	661
TIGR01656	41	37	4	115	184	70
TIGR03217	141	118	5	366	1250	366
TIGR03216	3173	3121	216	3675	12546	4522
TIGR03215	24	30	22	121	283	74
TIGR03108	1433	1438	87	2080	6871	2540
TIGR00928	489	468	33	617	1862	675
TIGR03211	27	16	0	36	65	27
TIGR03210	2862	2279	172	3689	12660	4415
TIGR02311	118	78	11	148	310	117
TIGR02313	295	334	12	552	2015	564
TIGR02312	16	22	2	72	272	56
TIGR00920	2	7	0	20	51	23
TIGR02314	4165	3739	295	5188	18351	6459
TIGR02317	402	476	43	574	1589	650
TIGR02316	2730	2406	264	3597	12047	4472
TIGR02074	912	839	38	1401	4727	1510
TIGR02075	428	389	9	536	1631	600
TIGR02076	220	200	5	334	1093	368
TIGR02070	149	165	6	202	678	220
TIGR02071	913	835	31	1329	4653	1454
TIGR02072	809	636	26	680	2267	904
TIGR02073	622	635	22	867	3015	1036
TIGR02078	394	378	12	453	1710	501
TIGR02079	642	430	42	678	2518	921
TIGR02273	300	268	23	422	1325	457
TIGR03859	24	17	2	16	122	16
TIGR03858	1723	1417	78	2092	5443	2682
TIGR02274	95	62	11	132	556	162
TIGR02275	2879	2558	189	3420	12124	4578
TIGR03854	765	651	33	1129	3056	1388
TIGR02278	1794	1555	117	1781	6588	2491
TIGR02279	253	292	2	317	1026	335
TIGR03852	52	40	2	25	46	20
TIGR00810	122	108	2	151	531	156
TIGR02562	31	34	3	27	258	84
TIGR00813	899	726	42	886	2580	1149
TIGR00815	456	522	19	852	3211	1053
TIGR02563	15	16	2	19	109	21
TIGR00819	37	41	0	48	157	33
TIGR02294	210	147	2	174	543	269
TIGR04009	2	3	0	18	135	33
TIGR00109	402	293	9	548	1890	626
TIGR00106	48	37	5	35	151	63
TIGR00104	22	16	2	18	63	11
TIGR00105	71	30	8	63	189	58
TIGR00103	153	157	12	151	513	164
TIGR00100	0	0	0	8	24	7
TIGR02476	66	60	2	24	76	47
TIGR01517	420	399	19	765	2830	851
TIGR01515	54	39	4	42	250	36
TIGR01512	429	400	12	620	2071	644
TIGR01510	164	101	10	141	704	182
TIGR01511	440	410	19	594	1955	584
TIGR03480	50	38	0	139	332	140
TIGR01186	4810	4557	325	6043	21438	7544
TIGR01189	3303	2922	254	4129	14629	5111
TIGR02099	839	708	26	1360	4810	1578
TIGR02092	4	40	0	17	230	8
TIGR02093	28	24	0	13	59	9
TIGR02090	462	391	23	814	2371	858
TIGR02091	44	66	41	28	269	22
TIGR02097	287	247	20	438	1131	544
TIGR02094	22	44	0	71	481	36
TIGR02095	76	69	1	44	571	55
TIGR04028	41	47	0	13	40	5
TIGR04025	209	227	22	247	1036	319
TIGR04024	1803	1495	80	2426	6950	3000
TIGR04027	2151	1737	115	2664	7590	3352
TIGR04021	586	463	20	794	2392	1001
TIGR04020	2206	1762	112	2608	7284	3452
TIGR04022	988	679	52	914	3211	1339
TIGR00032	368	323	25	543	1829	678
TIGR00033	157	148	3	127	323	145
TIGR00030	84	79	0	51	276	114
TIGR00031	0	0	0	25	9	6
TIGR00036	203	133	14	340	1024	268
TIGR00034	481	470	19	625	2398	724
TIGR00035	0	0	0	20	73	14
TIGR00038	595	582	57	637	2088	833
TIGR00039	117	98	12	137	454	172
TIGR01202	33	62	0	22	62	24
TIGR01203	21	47	4	64	193	73
TIGR01200	2	2	4	11	84	11
TIGR01201	0	0	0	15	73	4
TIGR01207	597	443	49	972	2749	910
TIGR01205	308	256	6	381	1359	467
TIGR01208	904	735	38	1349	3859	1416
TIGR02890	44	27	0	43	92	17
TIGR02891	1602	1287	515	1283	3785	1512
TIGR02897	711	569	46	932	2958	1023
TIGR02899	6	9	0	10	24	2
TIGR03692	196	153	20	234	701	283
TIGR03696	15	19	2	114	191	98
TIGR03695	165	143	3	248	830	265
TIGR03694	179	238	6	277	1128	367
TIGR03699	144	101	9	253	655	195
TIGR03451	2632	1885	166	3000	9535	3716
TIGR03453	409	342	16	488	1678	584
TIGR03452	1937	1638	93	2515	8271	3141
TIGR04335	2	4	0	22	81	21
TIGR03454	111	126	8	212	921	238
TIGR03457	691	679	60	1061	3920	1177
TIGR03458	17	9	0	25	87	29
TIGR00326	345	386	15	663	2440	651
TIGR00325	567	496	38	690	2065	831
TIGR00320	0	0	0	2	7	2
TIGR00328	274	269	8	492	1584	615
TIGR00329	580	579	17	587	2052	850
TIGR01334	229	165	8	288	1385	486
TIGR01330	2	2	0	18	42	3
TIGR01331	282	193	7	263	877	281
TIGR02675	380	169	10	198	335	251
TIGR02673	5490	5039	403	6936	23853	8380
TIGR04157	221	219	14	337	1848	373
TIGR04151	70	91	1	42	171	106
TIGR04152	127	160	5	164	552	276
TIGR00360	129	134	13	251	1046	333
TIGR03355	201	205	13	99	363	150
TIGR00252	65	46	3	53	185	66
TIGR00253	97	41	0	98	424	180
TIGR00250	75	118	1	196	715	162
TIGR00251	46	32	0	59	294	70
TIGR00256	99	66	6	109	288	82
TIGR00257	17	35	0	26	94	32
TIGR00254	3269	3096	138	4009	15360	4781
TIGR00255	371	305	17	608	2001	754
TIGR01028	157	132	11	177	576	195
TIGR01029	188337	131539	74965	286276	386493	152692
TIGR01022	59	58	3	65	254	89
TIGR01023	105	93	7	183	538	208
TIGR01020	167	127	6	213	541	185
TIGR01021	177	158	8	228	606	218
TIGR01026	2473	2407	433	2704	7418	3297
TIGR01027	419	370	14	575	1832	592
TIGR01024	177	196	15	154	580	220
TIGR01025	21	11	11	63	159	77
TIGR02319	280	287	30	393	1197	458
TIGR03079	152	149	5	421	1334	463
TIGR03078	145	126	5	70	310	131
TIGR03073	283	397	34	103	192	141
TIGR03213	39	57	3	54	138	63
TIGR03981	89	53	0	214	488	195
TIGR03077	84	110	5	85	574	149
TIGR03075	300	258	19	434	1363	433
TIGR03074	24	27	3	63	205	51
TIGR03670	334	248	46	290	767	379
TIGR03673	458	329	20	504	1602	525
TIGR03675	184	169	2	451	1314	487
TIGR03676	0	236	0	0	0	0
TIGR00924	491	443	17	722	2515	923
TIGR00367	183	156	19	218	701	252
TIGR00926	90	81	3	129	436	179
TIGR04003	0	0	0	19	35	15
TIGR02315	5151	4739	347	6513	22465	7995
TIGR02847	4	0	0	10	4	16
TIGR00921	1791	1531	86	2113	7035	2511
TIGR03734	135	149	8	215	944	270
TIGR02846	640	597	67	748	2584	964
TIGR00649	0	1	0	4	10	13
TIGR00889	0	0	0	35	143	32
TIGR03113	67	88	1	42	157	106
TIGR00645	209	217	6	342	1090	444
TIGR00644	305	332	3	369	1528	423
TIGR03218	16	22	2	72	273	56
TIGR00641	40	37	0	77	230	130
TIGR00640	54	43	0	118	241	156
TIGR00643	1211	909	105	1331	4840	1796
TIGR00642	40	37	0	75	203	130
TIGR02416	15	16	0	5	18	5
TIGR02417	238	205	5	57	178	67
TIGR02414	1074	847	56	1174	4151	1658
TIGR02415	8916	7587	421	11207	39792	14594
TIGR02412	276	197	10	231	696	282
TIGR00395	243	185	25	346	1049	382
TIGR02411	234	213	9	220	686	274
TIGR00483	2760	2717	475	2664	7639	3529
TIGR00482	41	36	0	115	364	84
TIGR00487	1740	1668	299	2131	7067	2696
TIGR00486	24	44	6	30	160	37
TIGR02418	678	660	47	1038	3795	1166
TIGR00484	193559	135679	75984	292536	403797	158290
TIGR02920	457	433	51	616	2010	597
TIGR00013	72	74	0	29	89	57
TIGR01686	0	0	0	8	28	2
TIGR01682	41	56	0	73	256	82
TIGR03637	64	51	6	35	101	75
TIGR01681	0	0	0	7	24	2
TIGR03208	4162	3718	321	4944	16877	6473
TIGR03636	14	32	2	28	93	17
TIGR00016	41	106	3	79	538	41
TIGR03200	1363	1041	75	1792	5769	2136
TIGR03201	1317	1068	98	1407	4759	1705
TIGR03203	4879	3838	271	5361	17759	7136
TIGR03204	6836	5460	384	7555	24917	9873
TIGR03205	3319	3049	264	4020	14321	5377
TIGR03206	8621	7409	402	10836	38510	14159
TIGR03207	10649	8266	562	11971	38353	15352
TIGR01383	19	39	0	42	78	39
TIGR01382	0	2	0	43	36	12
TIGR02303	347	432	20	508	1874	773
TIGR02307	29	31	2	35	28	24
TIGR02305	157	170	14	199	713	310
TIGR00152	102	132	3	135	419	169
TIGR00797	628	658	26	974	3345	1116
TIGR00155	263	208	20	166	922	242
TIGR00795	33	63	2	26	58	31
TIGR00792	147	113	2	26	109	44
TIGR00154	150	93	5	195	739	227
TIGR00157	73	62	4	48	188	76
TIGR02247	176	128	7	177	809	288
TIGR02691	0	0	0	11	56	3
TIGR03848	267	223	11	236	932	374
TIGR03844	0	2	0	6	89	22
TIGR03842	74	47	6	130	818	133
TIGR02249	1101	1057	467	976	3221	1071
TIGR03841	1156	956	57	1426	4396	1757
TIGR00861	246	175	9	328	1118	394
TIGR00860	12	12	28	2	4	0
TIGR00133	475	489	30	657	2136	807
TIGR00132	299	277	32	443	1414	509
TIGR00137	177	146	4	214	770	243
TIGR00136	1073	890	49	1327	4931	1503
TIGR00135	19	13	0	13	76	27
TIGR00134	338	355	14	399	1304	517
TIGR00139	569	426	23	674	2009	861
TIGR00138	235	169	7	291	988	420
TIGR01523	197	178	8	389	1403	427
TIGR01522	399	409	16	736	2765	797
TIGR01521	188	219	20	207	817	228
TIGR01520	88	71	4	30	116	45
TIGR01527	0	2	0	15	38	33
TIGR01526	2	4	0	15	47	11
TIGR01525	529	525	21	822	2875	895
TIGR01524	298	299	15	654	2435	694
TIGR01529	35	66	2	27	72	24
